,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
0,5914,9178,15603,30215,59556,92313,100919,93818,80288,53645,14427,1012,1
5,2865,4622,7800,13175,23850,38508,46770,51258,68732,40264,6136,330,1
10,1261,1985,3115,5000,7869,13820,26435,57649,67603,17456,329,2,1
15,169,229,342,494,882,2357,9334,10941,1414,9,1,1,1
20,699,960,1343,1968,3079,5087,12202,26889,25878,13941,3171,41,1
25,1936,2513,3720,5347,8340,11796,16187,24450,41440,40482,13443,943,5
30,2399,2870,3741,5303,7352,10140,12999,15205,17851,25447,33301,5425,32
35,1948,2359,3135,4077,5482,7568,9881,12413,15527,22316,25912,7345,215
40,2193,2662,3407,4354,5625,7255,9412,11551,13827,18060,25754,8921,220
45,1751,1861,1943,2503,3176,4200,5548,7604,10206,17553,25664,5864,72
50,2333,2402,2726,3461,4363,5460,6943,8589,9709,11562,22052,11869,152
55,2714,2804,3181,3709,4710,5765,7250,9013,10057,12838,22267,7004,43
60,3076,3252,3432,3974,4828,5870,7744,9373,10102,10840,17028,14539,843
65,3590,3536,3396,3818,4421,5881,7502,9323,9769,9872,13093,16431,943
70,3619,3542,3663,3863,4764,6154,8078,10008,10691,10573,13185,13547,1081
75,4322,4234,4268,4405,5199,6563,8528,9978,10343,10000,12639,11848,785
80,5588,5453,5256,5080,5438,6348,7908,8891,8609,7864,11623,12894,777
85,5625,5341,4662,4476,4409,5136,6221,7036,8025,9791,11452,4855,69
90,3885,3791,3750,3745,3990,4530,5435,6643,8845,10534,6506,1815,42
95,2709,2973,2864,2971,3238,3681,4539,6443,8192,7659,3074,418,6
100,3371,3879,3928,4079,4149,4318,5945,7842,7380,3330,373,6,1
105,4601,5311,6140,6317,6282,5905,6583,8076,6164,2503,200,1,1
110,5258,6059,6674,6907,6512,6356,7140,9744,8464,2358,84,1,1
115,5686,6941,7414,7044,6441,5890,5732,7292,10342,5022,265,7,1
120,5477,6415,6565,6145,5624,5086,5016,6031,6961,2964,173,1,1
125,5234,6163,5991,5548,4851,4283,4622,5474,3959,827,8,1,1
130,3836,4140,4071,3393,2947,2912,4271,6479,3399,1638,146,1,1
135,2991,2917,2454,2099,1651,1929,3057,5282,4476,1974,618,15,1
140,1983,1762,1467,1177,1006,1226,2048,3381,3180,2689,965,49,1
145,3699,3761,2947,2061,1723,1906,2529,3959,4446,3608,863,9,1
150,2946,2761,2232,1536,1143,1414,2033,4067,4929,2818,487,13,1
155,4259,4088,2988,1979,1539,1763,2065,2401,3507,5348,4082,576,9
160,6086,6131,4915,3349,2418,2592,2759,2602,2792,6216,7153,798,9
165,6922,6874,5732,3921,2887,2889,3165,2829,2464,3932,9138,2368,28
170,6856,6756,5536,3862,2951,3248,3223,2796,2344,3428,8551,1662,15
175,6653,6606,5405,3681,2945,3230,3584,3055,2464,3927,7493,1370,11
180,6539,6339,4901,3438,2842,3259,3697,3514,2688,4004,7958,2708,59
185,6976,6908,5758,4294,3410,3767,4268,3898,2956,2789,6932,6467,356
190,7020,6875,5847,4372,3659,3958,4807,4428,3384,3035,5416,6599,828
195,5946,5713,4827,3682,3259,3883,4701,4357,3406,2850,5033,7069,1233
200,5462,5206,4281,3312,3080,3919,4778,4616,3787,3652,6882,7698,946
205,6234,6012,5379,4315,4091,4820,6201,6240,5115,4059,6048,9465,965
210,6072,5906,4929,4047,4167,4670,6116,6105,5013,3801,5041,10441,874
215,5145,4746,4014,3347,3363,3932,4933,4873,4054,3093,4401,7546,777
220,5820,5579,4840,4223,3998,4477,5028,4928,4164,3165,4245,7950,969
225,6088,5740,4841,4358,4208,4517,4796,4845,3873,3596,5564,5823,400
230,6069,5570,4554,3991,4082,4375,4776,4574,3967,3642,6358,8127,434
235,6575,6110,5151,4625,4996,5579,5881,5623,4876,3992,6205,9219,537
240,7462,7261,6069,5546,5963,6867,7287,6849,6113,5020,7544,5443,165
245,6654,6173,5183,4958,5335,6345,6756,6773,6093,6251,9275,3717,99
