,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
0,17371,23873,34113,48269,63860,68033,48605,23644,9571,4207,1376,111,1
5,22138,31209,44111,61274,84348,98998,88274,62295,35653,15062,2380,53,1
10,12359,14573,19846,27874,40465,56571,65989,61132,47967,30012,6407,228,1
15,8881,9154,10323,12935,18237,25956,33458,38012,39416,31770,13495,982,9
20,6867,7294,8414,10733,14103,17967,22220,30722,46277,44624,9955,159,1
25,10050,10071,10781,12478,14969,17118,19981,26268,41863,43695,11943,115,1
30,6173,6616,7244,8894,10994,13649,20486,43317,73997,34219,3023,13,1
35,10177,10500,10943,12935,15146,17754,21493,30768,52218,61302,23798,672,2
40,13816,13161,13246,14518,16814,19558,23943,31499,38264,42759,26284,2405,23
45,19334,20446,20654,21287,22386,23186,25893,31822,40468,42465,20807,2663,32
50,18926,19691,19019,18726,18881,20376,24230,29507,31966,33508,32292,7284,126
55,22312,23168,22536,22043,21175,22131,25547,29987,35588,39102,26893,4553,83
60,27262,29388,29976,28964,27806,27846,30234,34412,36027,25929,13465,3558,79
65,19506,20319,20089,19403,19200,21038,25331,30167,29275,16964,7185,1680,24
70,15224,15787,15006,14415,15009,16991,20042,24457,23784,13865,9081,2651,20
75,22288,24308,25075,25789,26483,27483,28797,27887,25547,26059,23078,5064,27
80,21566,24033,25109,24218,24832,25116,25969,25836,24674,19135,16059,6591,87
85,22559,25356,26510,25861,25628,25542,24220,24072,25627,20920,8736,710,1
90,19341,21123,22025,21519,20883,20300,18708,17073,17278,20159,12274,815,5
95,24040,26678,26893,25290,23603,22120,20344,16731,14460,15339,16961,4399,33
100,25008,28277,28576,27772,25847,23946,20706,16823,13427,13886,16790,5826,65
105,21671,23020,22088,21001,19693,17991,15355,12652,12123,14983,8227,783,2
110,20728,22215,20395,18468,17408,15679,13542,12670,13415,12948,5777,333,3
115,18344,19470,18951,17568,16750,15204,12876,11086,13770,16160,4430,112,1
120,16656,16621,15435,14615,13944,12413,10494,9554,11081,12909,3431,64,1
125,14185,14794,14310,13755,12783,11271,9037,8432,12118,9032,1705,75,1
130,13818,14526,14040,13870,12836,10664,7751,5765,5359,9104,8680,963,11
135,11141,11224,11133,10813,10004,7826,5604,4047,4093,7680,7121,709,2
140,6448,6400,6772,6690,6026,4826,4253,5619,5944,5286,1794,58,1
145,8716,9057,9232,9026,8125,6449,5272,6996,10118,4195,1204,57,1
150,10206,10366,9955,9440,7900,6219,5189,7058,9964,3516,449,19,1
155,6918,7515,7818,7271,6057,4795,4995,6026,4882,1435,52,1,1
160,3718,4115,4063,3843,3264,2653,3381,4247,1354,140,12,1,1
165,834,930,864,801,685,639,1070,1572,470,191,56,1,1
170,5542,6153,6527,5794,4552,3651,3947,6281,5361,1077,32,1,1
175,4680,5330,5734,5074,4001,2905,3072,5099,3820,1155,63,1,1
180,7557,9078,9907,9547,8179,6076,4993,6162,6202,1978,127,1,1
185,13582,16361,18839,18618,15860,11465,8149,7311,10746,9716,573,11,1
190,14619,18063,20636,21566,19007,13956,10109,8079,8787,8776,2393,46,1
195,16273,18974,22085,22657,20306,16049,11417,9990,12073,10545,1454,7,1
200,14464,18383,21042,21905,19037,14043,10784,11608,13450,8570,436,1,1
205,13614,17093,20074,21056,18010,13040,10423,10797,9839,6840,1034,10,1
210,17242,21871,25959,27756,25110,18041,12042,10651,11528,11096,3061,51,1
215,17938,22279,27311,30610,28615,21604,15105,14247,16323,5957,286,3,1
220,16187,20846,26079,30281,29015,22072,16169,14585,15155,6053,480,1,1
225,17680,22745,29575,35486,35282,29091,22814,22544,15219,2777,50,1,1
